,year_id,state,industry_id,energy_consumption_pj
710,10,WA,1,373.6
711,10,SA,1,26.8
712,10,TAS,1,3.3
713,10,NT,1,59.1
714,10,VIC,2,172.2
715,10,NSW,2,247.5
716,10,QLD,2,274.0
717,10,WA,2,243.1
718,10,SA,2,82.6
719,10,TAS,2,43.3
720,10,NT,2,0.5
721,10,VIC,3,385.8
722,10,NSW,3,410.1
723,10,QLD,3,420.9
724,10,WA,3,273.6
725,10,SA,3,48.9
726,10,TAS,3,6.4
727,10,NT,3,33.3
728,10,VIC,4,13.3
729,10,NSW,4,15.9
730,10,QLD,4,7.6
731,10,WA,4,2.9
732,10,SA,4,2.4
733,10,TAS,4,0.5
734,10,NT,4,0.4
735,10,VIC,5,399.1
736,10,NSW,5,535.7
737,10,QLD,5,397.1
738,10,WA,5,258.3
739,10,SA,5,101.3
740,10,TAS,5,26.4
741,10,NT,5,28.7
742,10,VIC,6,3.3
743,10,NSW,6,4.0
744,10,QLD,6,3.2
745,10,WA,6,3.1
746,10,SA,6,2.5
747,10,TAS,6,0.3
748,10,NT,6,0.1
749,10,VIC,7,77.2
750,10,NSW,7,97.8
751,10,QLD,7,59.0
752,10,WA,7,40.3
753,10,SA,7,21.5
754,10,TAS,7,9.6
755,10,NT,7,5.5
756,10,VIC,8,170.8
757,10,NSW,8,134.0
758,10,QLD,8,63.4
759,10,WA,8,40.8
760,10,SA,8,31.0
761,10,TAS,8,13.3
762,10,NT,8,3.4
763,10,VIC,9,20.8
764,10,NSW,9,15.3
765,10,QLD,9,13.6
766,10,WA,9,7.7
767,10,SA,9,2.8
768,10,TAS,9,0.7
769,10,NT,9,0.1
770,11,VIC,0,9.9
771,11,NSW,0,22.3
772,11,QLD,0,24.6
773,11,WA,0,18.4
774,11,SA,0,7.4
775,11,TAS,0,3.5
776,11,NT,0,1.9
777,11,VIC,1,21.7
778,11,NSW,1,71.5
779,11,QLD,1,264.0
780,11,WA,1,386.7
781,11,SA,1,28.0
782,11,TAS,1,3.5
783,11,NT,1,78.2
784,11,VIC,2,166.5
785,11,NSW,2,243.0
786,11,QLD,2,270.0
787,11,WA,2,242.1
788,11,SA,2,78.8
789,11,TAS,2,39.9
790,11,NT,2,0.4
791,11,VIC,3,365.9
792,11,NSW,3,392.1
793,11,QLD,3,409.1
794,11,WA,3,283.5
795,11,SA,3,46.5
796,11,TAS,3,4.3
797,11,NT,3,33.1
798,11,VIC,4,13.4
799,11,NSW,4,14.6
800,11,QLD,4,7.0
801,11,WA,4,2.5
802,11,SA,4,2.2
803,11,TAS,4,0.5
804,11,NT,4,0.2
805,11,VIC,5,355.9
806,11,NSW,5,484.4
807,11,QLD,5,364.3
808,11,WA,5,241.5
809,11,SA,5,96.6
810,11,TAS,5,24.4
811,11,NT,5,23.8
812,11,VIC,6,4.8
813,11,NSW,6,4.5
814,11,QLD,6,3.7
815,11,WA,6,4.0
816,11,SA,6,2.6
817,11,TAS,6,0.4
818,11,NT,6,0.1
819,11,VIC,7,72.1
820,11,NSW,7,95.2
821,11,QLD,7,55.1
822,11,WA,7,39.9
823,11,SA,7,21.4
824,11,TAS,7,9.2
825,11,NT,7,5.0
826,11,VIC,8,181.7
827,11,NSW,8,135.8
828,11,QLD,8,66.1
829,11,WA,8,42.1
830,11,SA,8,31.6
831,11,TAS,8,13.7
832,11,NT,8,3.6
833,11,VIC,9,21.4
834,11,NSW,9,14.6
835,11,QLD,9,14.7
836,11,WA,9,7.4
837,11,SA,9,4.2
838,11,TAS,9,0.8
839,11,NT,9,0.2
840,12,VIC,0,14.3
841,12,NSW,0,33.1
842,12,QLD,0,29.4
843,12,WA,0,24.6
844,12,SA,0,10.2
845,12,TAS,0,4.8
846,12,NT,0,2.3
847,12,VIC,1,20.2
848,12,NSW,1,69.8
849,12,QLD,1,264.0
850,12,WA,1,388.3
851,12,SA,1,28.0
852,12,TAS,1,3.6
853,12,NT,1,76.5
854,12,VIC,2,162.9
855,12,NSW,2,242.1
856,12,QLD,2,270.7
857,12,WA,2,248.4
858,12,SA,2,79.9
859,12,TAS,2,40.5
860,12,NT,2,0.4
861,12,VIC,3,358.9
862,12,NSW,3,371.6
863,12,QLD,3,398.5
864,12,WA,3,259.1
865,12,SA,3,39.9
866,12,TAS,3,4.2
867,12,NT,3,32.6
868,12,VIC,4,12.7
869,12,NSW,4,13.5
870,12,QLD,4,6.9
871,12,WA,4,2.4
872,12,SA,4,2.3
873,12,TAS,4,0.4
874,12,NT,4,0.3
875,12,VIC,5,289.5
876,12,NSW,5,426.1
877,12,QLD,5,336.1
878,12,WA,5,230.4
879,12,SA,5,90.9
880,12,TAS,5,25.6
881,12,NT,5,24.1
882,12,VIC,6,4.8
883,12,NSW,6,3.5
884,12,QLD,6,3.2
885,12,WA,6,4.1
886,12,SA,6,2.9
887,12,TAS,6,0.3
888,12,NT,6,0.1
889,12,VIC,7,68.6
890,12,NSW,7,92.9
891,12,QLD,7,54.2
892,12,WA,7,38.3
893,12,SA,7,20.0
894,12,TAS,7,8.8
895,12,NT,7,5.0
896,12,VIC,8,182.3
897,12,NSW,8,137.8
898,12,QLD,8,69.3
899,12,WA,8,43.7
900,12,SA,8,32.6
901,12,TAS,8,14.0
902,12,NT,8,3.8
903,12,VIC,9,21.8
904,12,NSW,9,12.0
905,12,QLD,9,12.9
906,12,WA,9,7.1
907,12,SA,9,4.5
908,12,TAS,9,0.7
909,12,NT,9,0.2
